"Actual","Predicted","nPredictions"
"neg","neg","3923"
"neg","neu","1027"
"neg","pos","437"
"neu","neg","1261"
"neu","neu","3602"
"neu","pos","676"
"pos","neg","568"
"pos","neu","607"
"pos","pos","4345"
"neg","neg","3777"
"neg","neu","1031"
"neg","pos","461"
"neu","neg","1148"
"neu","neu","3759"
"neu","pos","672"
"pos","neg","550"
"pos","neu","588"
"pos","pos","4460"
"neg","neg","3778"
"neg","neu","1146"
"neg","pos","439"
"neu","neg","1266"
"neu","neu","3616"
"neu","pos","618"
"pos","neg","586"
"pos","neu","645"
"pos","pos","4352"
"neg","neg","3862"
"neg","neu","1079"
"neg","pos","467"
"neu","neg","1265"
"neu","neu","3558"
"neu","pos","629"
"pos","neg","651"
"pos","neu","611"
"pos","pos","4324"
"neg","neg","3851"
"neg","neu","1007"
"neg","pos","445"
"neu","neg","1236"
"neu","neu","3721"
"neu","pos","630"
"pos","neg","540"
"pos","neu","598"
"pos","pos","4418"
"neg","neg","3873"
"neg","neu","1120"
"neg","pos","414"
"neu","neg","1215"
"neu","neu","3603"
"neu","pos","638"
"pos","neg","597"
"pos","neu","590"
"pos","pos","4396"
"neg","neg","3809"
"neg","neu","1060"
"neg","pos","395"
"neu","neg","1241"
"neu","neu","3661"
"neu","pos","658"
"pos","neg","647"
"pos","neu","638"
"pos","pos","4337"
"neg","neg","3837"
"neg","neu","1082"
"neg","pos","390"
"neu","neg","1154"
"neu","neu","3792"
"neu","pos","636"
"pos","neg","555"
"pos","neu","660"
"pos","pos","4340"
"neg","neg","3725"
"neg","neu","1115"
"neg","pos","489"
"neu","neg","1180"
"neu","neu","3688"
"neu","pos","653"
"pos","neg","593"
"pos","neu","667"
"pos","pos","4336"
"neg","neg","4019"
"neg","neu","975"
"neg","pos","434"
"neu","neg","1211"
"neu","neu","3601"
"neu","pos","656"
"pos","neg","559"
"pos","neu","602"
"pos","pos","4389"
"neg","neg","3846"
"neg","neu","956"
"neg","pos","508"
"neu","neg","1242"
"neu","neu","3760"
"neu","pos","670"
"pos","neg","617"
"pos","neu","572"
"pos","pos","4275"
"neg","neg","3928"
"neg","neu","1031"
"neg","pos","426"
"neu","neg","1201"
"neu","neu","3672"
"neu","pos","593"
"pos","neg","596"
"pos","neu","640"
"pos","pos","4359"
"neg","neg","3844"
"neg","neu","973"
"neg","pos","460"
"neu","neg","1287"
"neu","neu","3586"
"neu","pos","676"
"pos","neg","624"
"pos","neu","598"
"pos","pos","4398"
"neg","neg","3951"
"neg","neu","940"
"neg","pos","410"
"neu","neg","1263"
"neu","neu","3668"
"neu","pos","651"
"pos","neg","570"
"pos","neu","595"
"pos","pos","4398"
"neg","neg","3854"
"neg","neu","1103"
"neg","pos","497"
"neu","neg","1212"
"neu","neu","3631"
"neu","pos","625"
"pos","neg","642"
"pos","neu","629"
"pos","pos","4253"
"neg","neg","3838"
"neg","neu","979"
"neg","pos","399"
"neu","neg","1242"
"neu","neu","3727"
"neu","pos","630"
"pos","neg","581"
"pos","neu","709"
"pos","pos","4341"
"neg","neg","3939"
"neg","neu","968"
"neg","pos","474"
"neu","neg","1301"
"neu","neu","3575"
"neu","pos","666"
"pos","neg","569"
"pos","neu","551"
"pos","pos","4403"
"neg","neg","3929"
"neg","neu","1013"
"neg","pos","451"
"neu","neg","1222"
"neu","neu","3601"
"neu","pos","647"
"pos","neg","582"
"pos","neu","628"
"pos","pos","4373"
"neg","neg","3980"
"neg","neu","1002"
"neg","pos","446"
"neu","neg","1265"
"neu","neu","3644"
"neu","pos","644"
"pos","neg","603"
"pos","neu","635"
"pos","pos","4227"
"neg","neg","3961"
"neg","neu","858"
"neg","pos","403"
"neu","neg","1382"
"neu","neu","3634"
"neu","pos","619"
"pos","neg","630"
"pos","neu","587"
"pos","pos","4372"